site,location,date,column_position,temp_c,category,,,,,,,
AQUE,outside,38431,bottom,14.31013889,outside_bottom,,MOHK,outside,38701,bottom,14.44486111,outside_bottom
AQUE,outside,38432,bottom,13.40208333,outside_bottom,,MOHK,outside,38702,bottom,14.40555556,outside_bottom
AQUE,outside,38433,bottom,13.23222222,outside_bottom,,MOHK,outside,38703,bottom,14.60513889,outside_bottom
AQUE,outside,38434,bottom,12.83694444,outside_bottom,,MOHK,outside,38704,bottom,15.01055556,outside_bottom
AQUE,outside,38435,bottom,12.39055556,outside_bottom,,MOHK,outside,38705,bottom,14.92791667,outside_bottom
AQUE,outside,38436,bottom,11.87305556,outside_bottom,,MOHK,outside,38706,bottom,14.90430556,outside_bottom
AQUE,outside,38437,bottom,11.58388889,outside_bottom,,MOHK,outside,38707,bottom,14.95166667,outside_bottom
AQUE,outside,38438,bottom,11.87111111,outside_bottom,,MOHK,outside,38708,bottom,14.54138889,outside_bottom
AQUE,outside,38439,bottom,11.73722222,outside_bottom,,MOHK,outside,38709,bottom,14.44,outside_bottom
AQUE,outside,38440,bottom,10.98930556,outside_bottom,,MOHK,outside,38710,bottom,14.54291667,outside_bottom
AQUE,outside,38441,bottom,10.59138889,outside_bottom,,MOHK,outside,38711,bottom,14.90819444,outside_bottom
AQUE,outside,38442,bottom,10.68916667,outside_bottom,,MOHK,outside,38712,bottom,14.86027778,outside_bottom
AQUE,outside,38443,bottom,11.39013889,outside_bottom,,MOHK,outside,38713,bottom,14.83166667,outside_bottom
AQUE,outside,38444,bottom,11.52125,outside_bottom,,MOHK,outside,38714,bottom,14.76930556,outside_bottom
AQUE,outside,38445,bottom,11.88647059,outside_bottom,,MOHK,outside,38715,bottom,14.72333333,outside_bottom
AQUE,outside,38446,bottom,11.24444444,outside_bottom,,MOHK,outside,38716,bottom,14.62125,outside_bottom
AQUE,outside,38447,bottom,10.73333333,outside_bottom,,MOHK,outside,38717,bottom,14.65861111,outside_bottom
AQUE,outside,38448,bottom,11.05625,outside_bottom,,MOHK,outside,38718,bottom,14.40694444,outside_bottom
AQUE,outside,38449,bottom,11.19166667,outside_bottom,,MOHK,outside,38719,bottom,14.39736111,outside_bottom
AQUE,outside,38450,bottom,10.35625,outside_bottom,,MOHK,outside,38720,bottom,14.095,outside_bottom
AQUE,outside,38451,bottom,10.03986111,outside_bottom,,MOHK,outside,38721,bottom,13.91236111,outside_bottom
AQUE,outside,38452,bottom,9.916388889,outside_bottom,,MOHK,outside,38722,bottom,13.93847222,outside_bottom
AQUE,outside,38453,bottom,10.01819444,outside_bottom,,MOHK,outside,38723,bottom,13.88097222,outside_bottom
AQUE,outside,38454,bottom,10.38722222,outside_bottom,,MOHK,outside,38724,bottom,13.69208333,outside_bottom
